id_tugas,id_project,id_karyawan,nama_tugas,status
t001,p001,k001,Create Mockups,In Progress
t002,p001,k002,Develop Frontend,Not Started
t003,p002,k003,Set Up Backend,In Progress
t004,p002,k004,Design UI,Not Started
t005,p003,k005,Create Content,Completed
t006,p004,k006,Data Migration,In Progress
t007,p005,k007,Analyze Data,Not Started
t008,p006,k008,Model Training,In Progress
t009,p007,k009,Create Environment,Completed
t010,p008,k010,Update Content,In Progress
t011,p009,k011,Test Software,Not Started
t012,p010,k012,Launch App,Completed
t013,p011,k013,SEO Audit,In Progress
t014,p012,k014,Market Research,Not Started
t015,p013,k015,Build Platform,In Progress
t016,p014,k016,Create Ads,Completed
t017,p015,k017,Prepare Report,In Progress
t018,p016,k018,Setup Network,Not Started
t019,p017,k019,Collect Data,In Progress
t020,p018,k020,Feedback Analysis,Completed
t021,p001,k005,Memory according style soldier center wish.,Not Started
t022,p005,k002,Material as its factor build use.,Completed
t023,p005,k004,Drop goal woman deep reflect.,Completed
t024,p002,k001,Thought cost toward small specific pick.,In Progress
t025,p004,k004,Course born nor within owner.,Completed
t026,p002,k001,President number look community accept another.,Completed
t027,p002,k004,Too suffer sing citizen hope tree idea.,Not Started
t028,p002,k001,Claim performance indicate about animal issue.,Completed
t029,p003,k002,Bit support five because sea.,Not Started
t030,p001,k004,Heart effort employee nice out.,Not Started
t031,p001,k003,Trip event smile western itself final choose.,Completed
t032,p001,k001,Think technology part upon.,Not Started
t033,p005,k004,Industry morning some short free read into.,Not Started
t034,p001,k005,Wall child management commercial mind sister include father.,In Progress
t035,p002,k003,Red phone take bag.,In Progress
t036,p003,k001,Coach analysis world including.,Completed
t037,p004,k001,Environmental wife language across inside individual.,In Progress
t038,p003,k001,Yet chair station soldier either.,In Progress
t039,p004,k001,Maybe suddenly fact loss mind factor step.,In Progress
t040,p005,k001,Face five son common.,Completed
t041,p003,k002,Site tough move.,Completed
t042,p005,k001,High institution heart.,In Progress
t043,p003,k004,Home stay receive produce our various.,Not Started
t044,p005,k004,Nearly tough among chance.,Not Started
t045,p005,k005,Building during attention father away early identify.,Not Started
t046,p001,k004,Same future country seem show cold identify.,Not Started
t047,p003,k004,About trip decide forget program thus.,In Progress
t048,p003,k005,Effort approach job play.,In Progress
t049,p001,k005,They hard exist.,Not Started
t050,p005,k001,Task write sense.,Completed
t051,p004,k002,Partner bad room away mission worker keep.,Not Started
t052,p004,k005,Step contain successful education north.,In Progress
t053,p002,k005,Father area try try.,Completed
t054,p003,k005,Product team way bit action everything.,Not Started
t055,p005,k004,Pattern crime on.,Completed
t056,p004,k002,Live I put garden without according argue.,In Progress
t057,p001,k005,Through organization especially store environment much.,Not Started
t058,p001,k004,Bag offer character provide strong time.,In Progress
t059,p003,k003,Include apply likely same.,In Progress
t060,p005,k005,He evening send early.,Completed
t061,p002,k002,Clearly early two hard arm respond.,Not Started
t062,p003,k002,Area pick choose professional unit couple blood that.,Completed
t063,p001,k003,Guy list data majority.,Completed
t064,p003,k002,Everyone today direction turn possible.,In Progress
t065,p001,k003,Science north grow window service media.,Not Started
t066,p002,k005,Hour fill deal have wife.,Completed
t067,p004,k002,Between prepare air show white can.,Not Started
t068,p005,k005,Reality the my successful.,Completed
t069,p002,k003,Whose leader hot style.,Not Started
t070,p001,k002,Time management standard.,Completed
t071,p002,k004,Decision for life teacher friend own night.,Completed
t072,p002,k001,Close summer sing enter low should.,Not Started
t073,p003,k003,Everyone consumer because specific.,Not Started
t074,p004,k004,Get manage friend note ten game imagine.,Not Started
t075,p004,k002,Artist skin recognize central also least push.,Completed
t076,p005,k005,Mr car water role data a under.,In Progress
t077,p003,k001,Buy occur conference describe me job for.,Not Started
t078,p001,k001,Left ok young fine.,Not Started
t079,p003,k004,Nor see amount seat bring present professional science.,Completed
t080,p002,k001,Have data military play second now.,Not Started
t081,p005,k002,Draw billion measure moment risk.,Completed
t082,p005,k004,Two fall remember group notice still.,Not Started
t083,p002,k003,Build pretty interest dark civil future.,In Progress
t084,p002,k004,Road which deep fire stage walk.,In Progress
t085,p004,k003,Education civil hand production.,In Progress
t086,p002,k002,Section participant administration later social movie only.,Not Started
t087,p004,k001,Into thank ever natural.,Completed
t088,p004,k005,Above best ball exist member win.,In Progress
t089,p001,k002,Race floor item.,Completed
t090,p005,k004,Strong wear practice sort hot actually station.,In Progress
t091,p003,k003,Now subject anyone power detail.,In Progress
t092,p003,k005,Clearly benefit statement tell.,Completed
t093,p003,k004,Parent whatever soon learn.,In Progress
t094,p004,k002,Few north its conference.,Completed
t095,p004,k005,Sell station fish appear debate happen stop.,Completed
t096,p004,k002,Outside late stage.,Completed
t097,p004,k004,Soon base project just always agent.,Not Started
t098,p004,k005,Thought involve change court during western fill owner.,Not Started
t099,p004,k004,Per might player billion.,In Progress
t100,p001,k004,Tell data population series.,Not Started
t101,p002,k002,Likely trip top bed design value.,Not Started
t102,p001,k002,More authority more listen choose risk approach.,In Progress
t103,p001,k001,Talk special then drive.,Not Started
t104,p001,k003,Scientist beautiful level feeling party national TV.,Completed
t105,p005,k004,Others game very.,Completed
t106,p004,k005,Red process hotel nature page front notice voice.,Not Started
t107,p001,k001,Other American compare hour fund high order hundred.,Completed
t108,p004,k003,Collection need policy.,In Progress
t109,p002,k001,Respond see cup save response send child.,Not Started
t110,p005,k005,Citizen kitchen later everyone operation start.,In Progress
t111,p001,k001,Contain suddenly right thus along school.,Completed
t112,p003,k002,Why science speak strong anyone chance Republican.,In Progress
t113,p005,k002,Capital especially appear art blood.,In Progress
t114,p004,k003,Discover yet personal each both six.,Completed
t115,p002,k003,Accept response specific run add.,Completed
t116,p002,k004,Medical population town throw air front.,Not Started
t117,p004,k004,Project put describe reach citizen add thousand today.,Not Started
t118,p005,k002,Pay fund ago audience develop low.,Completed
t119,p003,k005,Big realize return brother near history.,Completed
t120,p002,k003,Senior movement think chair central.,Not Started
